seat_id,seat_name,seat_district,leader_name,leader_party_full,leader_party_short,declared_winner_yes_no,total_votes,leader_votes,leader_vote_share_pc,loser_name,loser_party_full,loser_party_short,loser_votes,loser_vote_share_pc,lead_margin_votes,lead_margin_vote_share_pc,url_for_checking
18,Model Town,North,Ashok Goel,Bharatiya Janata Party,BJP,no,88345.0,47619.0,53.9,Akhilesh Pati Tripathi,Aam Aadmi Party,AAP,35742.0,40.5,11877.0,13.4,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0518.htm
19,Sadar Bazar,Central,Som Dutt,Aam Aadmi Party,AAP,no,108797.0,50558.0,46.5,Manoj Kumar Jindal,Bharatiya Janata Party,BJP,47424.0,43.6,3134.0,2.9,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0519.htm
20,Chandni Chowk,Central,Punardeep Singh Sawhney (Sabby),Aam Aadmi Party,AAP,no,70105.0,38532.0,55.0,Satish Jain,Bharatiya Janata Party,BJP,22091.0,31.5,16441.0,23.5,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0520.htm
21,Matia Mahal,Central,Aaley Mohammed Iqbal,Aam Aadmi Party,AAP,no,84328.0,58041.0,68.8,Deepti Indora,Bharatiya Janata Party,BJP,15351.0,18.2,42690.0,50.6,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0521.htm
22,Ballimaran,Central,Imran Hussain,Aam Aadmi Party,AAP,no,98277.0,57004.0,58.0,Kamal Bagri,Bharatiya Janata Party,BJP,27181.0,27.7,29823.0,30.3,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0522.htm
23,Karol Bagh,Central,Vishesh Ravi,Aam Aadmi Party,AAP,no,87849.0,45280.0,51.5,Dushyant Gautam,Bharatiya Janata Party,BJP,37755.0,43.0,7525.0,8.5,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0523.htm
24,Patel Nagar,New Delhi,Pravesh Ratn,Aam Aadmi Party,AAP,no,108152.0,53491.0,49.5,Raaj Kumar Anand,Bharatiya Janata Party,BJP,48829.0,45.1,4662.0,4.4,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0524.htm
25,Moti Nagar,West,Harish Khurana,Bharatiya Janata Party,BJP,no,98515.0,53334.0,54.1,Shivcharan Goel,Aam Aadmi Party,AAP,40580.0,41.2,12754.0,12.9,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0525.htm
26,Madipur,West,Kailash Gangwal,Bharatiya Janata Party,BJP,no,106903.0,49489.0,46.3,Rakhi Birla,Aam Aadmi Party,AAP,38479.0,36.0,11010.0,10.3,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0526.htm
27,Rajouri Garden,West,Manjinder Singh Sirsa,Bharatiya Janata Party,BJP,yes,114806.0,64132.0,55.9,A Dhanwati Chandela A,Aam Aadmi Party,AAP,45942.0,40.0,18190.0,15.9,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0527.htm
