playlist_id,playlist_name,source,track_name,track_id,artist_name,artist_id,album_name,album_id,date_released,date_added_to_playlist,date_added_to_master_list
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Jah No Partial,3Q4a9ApgFnZ9w12aowAZeD,"Major Lazer, Flux Pavilion","738wLrAtLtCtFOLvQBXOXp, 7muzHifhMdnfN1xncRLOqk",Free The Universe (Extended Version),6Ax8Neb7dEif3KUlJwj2P8,2013-04-16,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Jack,7L4UlKgx4e5oXCxGuLQfI6,Breach,2MMkuQE0f6CDaamJdWXaCC,Jack,0IeDOaISIvOQhZVIr8WbPW,2013-04-16,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,So Good To Me (Originally Performed by Chris Malinchak) - Karaoke Version,4XFDvOklmvoRt2R9cglzEZ,Quantum Hits,3q5Hk96ikb7z7vz1wK56wW,So Good To Me (Originally Performed by Chris Malinchak) [Karaoke Version],4dCrMJMVwmILHZhBtJBuK6,2013-04-19,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Turn It Up (feat. Wolfpack),4BXfVrNwwWGR33gruLKU48,"Dimitri Vegas & Like Mike, Like Mike, Good Times Ahead, Wolfpack","73jBynjsVtofjRpdpRAJGk, 4pwXiI7Z5ZStkgKowZyoKi, 6M7RdR9ZP52h2mfNLmiHtU, 74ycentHh1YZrW5x4PLnox",Turn It Up (feat. Wolfpack),16SpXWEeT56Jwl9cAnztbl,2013-04-23,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,This Is What It Feels Like,1htL9B9vNtrkelEfmndK62,HeartBeat Cardio Trax,4qmZU4Q466lJdG9hIfUAhA,Heartbeat Cardio Trax,54jgy1qodCGjBmzO80oPNK,2013-04-26,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Viper - Original Mix,07gLWSrmiIH3r78vfVZx5x,Dannic,1PFc84GHTYPL0G12JHh9Mc,Viper,5PvfGMGCMblbnSc6xtNTyY,2013-04-29,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Right Here (feat. Foxes),17pkbuhnvd42wAT1Dg5w7e,"Rudimental, Foxes","4WN5naL3ofxrVBgFpguzKo, 7qRll6DYV06u2VuRPAVqug",Home (Deluxe Edition),20GP9WmumQUDzvXYPOAnpX,2013-04-29,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Baby (feat. MNEK & Sinead Harnett),3N7aRLwUCUCfLiAFZCTAQR,"Rudimental, MNEK, Sinead Harnett","4WN5naL3ofxrVBgFpguzKo, 7uMh23xWiuR7zsNkuNcm2G, 6tUJpYN2aYiXbzAcg0pIOo",Home (Deluxe Edition),20GP9WmumQUDzvXYPOAnpX,2013-04-29,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Turn Me Out - Ejeca Remix,5EALKk4FGFqIXFmBmOgYtz,Russ Chimes,5L1ueznqwXIHAimfnhfftF,EDM,4dDflg03R6HWmj4zgRYTYY,2013-05-03,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,So Good to Me - Zinc Remix,64QnPX25CPjCHeu8HLCQng,"Chris Malinchak, Zinc","5UVzX8pQe6bb5ueNdfViih, 6rNNzYwIibSLwFxDfXDBeS",So Good To Me (Remixes),3coyILlnBFrIV8ZW7EjVxV,2013-05-03,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,So Good to Me - S.P.Y Remix,1OzECm1I98eKoJg1PDQD38,"Chris Malinchak, S.P.Y","5UVzX8pQe6bb5ueNdfViih, 6aJAd8zM1s3Slw64KfsmaF",So Good To Me (Remixes),3coyILlnBFrIV8ZW7EjVxV,2013-05-03,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,So Good to Me - MK Remix,1rNb1kZoqH2agqQ9NIBm6e,"Chris Malinchak, MK","5UVzX8pQe6bb5ueNdfViih, 1yqxFtPHKcGcv6SXZNdyT9",So Good To Me (Remixes),3coyILlnBFrIV8ZW7EjVxV,2013-05-03,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,One In A Million - Radio Edit,4BnJX8cRJKQwbXoTbf1B2g,"Drumsound & Bassline Smith, Fleur","1f6TTocyaqNFvwD4xsrDTh, 56J9K0PoFWr05v3YkMIA5S",One In A Million,7kOinOxUT70WwksmazZ9r2,2013-05-05,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Power Glove,6qpaTfe6rCl55xEPT4F7Hp,Knife Party,2DuJi13MWHjRHrqRUwk8vH,Haunted House,1YhwGzFBdDAR1OA9644LK9,2013-05-06,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,EDM Death Machine,6iBzUjscIAeQ2vKV67UuZM,Knife Party,2DuJi13MWHjRHrqRUwk8vH,Haunted House,1YhwGzFBdDAR1OA9644LK9,2013-05-06,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,LRAD,4ce29VAx1D8f3HULOHHA3K,Knife Party,2DuJi13MWHjRHrqRUwk8vH,Haunted House,1YhwGzFBdDAR1OA9644LK9,2013-05-06,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Disappearer - Radio Edit,6JRsVUH9FDBUugHVSZ7bPB,"Avec, Jake Shears","3kQuAbzUIm72Pf8UHEyNC0, 6prqlx3RqGdTYsXANXDCR1",Disappearer (feat. Jake Shears) [Radio Edit],6XNNuogOYHRePSaKAIl1yO,2013-05-11,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Intentions,4QawOxli8o67vsJeAja5jH,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Intentions,019TfyVjY3ic5E7afEES99,2013-05-12,2021-05-16,2021-05-16
